vx,vy,vz,xpos0,ypos0,photons0,xpos1,ypos1,photons1
-18.1907,0,-1.22526,-99.9,-99.9,-1,-99.9,-99.9,-1
3.06023,0,-1.31817,-25,0,1001,25,0,1634
13.6729,0,-8.1661,-99.9,-99.9,-1,25,0,2
5.6508,0,-2.40176,-25,0,182,25,0,224
10.4453,0,-1.84914,-25,0,1154,25,0,1513
-3.93571,0,-9.82108,-25,0,654,25,0,470
17.3711,0,-9.47018,-25,0,196,25,0,958
-15.8212,0,-3.15444,-25,0,304,25,0,115
-7.07257,0,-2.38816,-99.9,-99.9,-1,25,0,1
0.73926,0,4.19563,-25,0,5,25,0,5
10.8017,0,4.65767,-25,0,748,25,0,916
-2.9478,0,9.81067,-99.9,-99.9,-1,-99.9,-99.9,-1
4.0959,0,-7.3581,-25,0,920,25,0,907
15.7267,0,-5.25618,-25,0,1,25,0,1
19.8859,0,-0.648172,-25,0,214,25,0,555
-6.88308,0,-0.529137,-25,0,257,25,0,200
7.82494,0,-1.53648,-25,0,62,25,0,74
-14.3068,0,-1.91116,-99.9,-99.9,-1,-99.9,-99.9,-1
13.8725,0,0.00374723,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.556,0,4.66275,-25,0,107,25,0,55
17.8832,0,9.19312,-25,0,84,25,0,178
4.47304,0,-3.31715,-25,0,1,-99.9,-99.9,-1
3.19512,0,4.03123,-25,0,1,-99.9,-99.9,-1
1.60642,0,-9.79119,-25,0,2,-99.9,-99.9,-1
5.99294,0,-6.09528,-25,0,196,25,0,268
-9.83038,0,-5.14068,-25,0,445,25,0,338
-18.4892,0,9.27128,-25,0,383,25,0,154
0.567196,0,5.38436,-99.9,-99.9,-1,-99.9,-99.9,-1
10.079,0,7.94626,-99.9,-99.9,-1,-99.9,-99.9,-1
-3.53821,0,-1.75361,-25,0,1077,25,0,802
-5.095,0,8.76065,-25,0,55,25,0,45
-16.0544,0,-6.94056,-25,0,5,25,0,3
-3.68156,0,1.73002,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.6834,0,3.12855,-25,0,160,25,0,87
8.04345,0,-6.85342,-25,0,481,25,0,858
15.6121,0,-7.64335,-25,0,39,25,0,93
-11.7019,0,8.88687,-25,0,96,25,0,58
-17.9504,0,-3.33675,-25,0,191,25,0,73
-17.5388,0,-4.97695,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.3394,0,7.04615,-99.9,-99.9,-1,-99.9,-99.9,-1
21.065,0,8.3972,-25,0,94,25,0,416
19.5844,0,7.77983,-25,0,23,25,0,96
19.5183,0,4.13068,-25,0,200,25,0,426
13.5117,0,-6.23076,-25,0,56,25,0,101
5.19316,0,7.87529,-25,0,97,25,0,162
-8.63052,0,2.19263,-25,0,1,-99.9,-99.9,-1
-13.7349,0,-9.74409,-25,0,1,-99.9,-99.9,-1
5.66259,0,3.69743,-25,0,154,25,0,201
12.8242,0,-0.528489,-25,0,295,25,0,491
21.3236,0,-1.41577,-25,0,14,25,0,49
-8.97127,0,-7.23858,-25,0,752,25,0,439
3.65852,0,-4.24687,-99.9,-99.9,-1,-99.9,-99.9,-1
-6.0495,0,7.21982,-25,0,361,25,0,259
10.1375,0,-7.76891,-25,0,386,25,0,795
-17.3339,0,-3.24387,-25,0,6,25,0,3
-12.8878,0,3.34045,-25,0,360,25,0,224
19.1954,0,1.56227,-99.9,-99.9,-1,-99.9,-99.9,-1
4.13608,0,4.79915,-25,0,154,25,0,147
-1.83921,0,-2.35628,-99.9,-99.9,-1,25,0,1
21.7689,0,-7.29254,-99.9,-99.9,-1,25,0,1
-17.5325,0,5.50775,-25,0,149,25,0,64
-14.3897,0,5.49597,-25,0,111,25,0,61
6.65386,0,7.96587,-25,0,5,25,0,6
-5.68637,0,-1.03607,-25,0,494,25,0,471
-7.90218,0,-3.81631,-99.9,-99.9,-1,-99.9,-99.9,-1
-21.059,0,7.42096,-25,0,929,25,0,323
-6.14677,0,-9.68858,-25,0,16,25,0,15
12.2579,0,7.74904,-25,0,50,25,0,63
-8.51433,0,-0.795614,-99.9,-99.9,-1,-99.9,-99.9,-1
2.85657,0,3.98594,-25,0,409,25,0,515
13.7203,0,-6.25214,-25,0,128,25,0,250
10.3517,0,-6.56668,-99.9,-99.9,-1,25,0,1
1.04083,0,9.85984,-25,0,13,25,0,17
-12.5217,0,-2.31379,-25,0,59,25,0,22
-3.0377,0,-0.328953,-25,0,1061,25,0,619
-16.2005,0,8.66783,-99.9,-99.9,-1,-99.9,-99.9,-1
12.8093,0,5.7555,-25,0,107,25,0,184
4.14339,0,-0.532613,-25,0,27,25,0,28
-5.69972,0,-3.82951,-25,0,300,25,0,227
19.9289,0,9.95688,-25,0,283,25,0,751
16.8195,0,4.13255,-99.9,-99.9,-1,-99.9,-99.9,-1
9.07007,0,-0.0903949,-99.9,-99.9,-1,25,0,1
1.81592,0,-5.19358,-25,0,1,-99.9,-99.9,-1
-17.4418,0,7.67274,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.2202,0,-6.60514,-25,0,93,25,0,41
18.8589,0,-8.03172,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.9408,0,-3.96131,-99.9,-99.9,-1,25,0,1
-16.7341,0,-8.07123,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.6199,0,8.98887,-25,0,166,25,0,94
21.4877,0,-5.95732,-25,0,801,25,0,1772
13.1821,0,7.48482,-25,0,335,25,0,662
20.2613,0,6.95258,-25,0,225,25,0,1722
3.01674,0,3.21192,-25,0,103,25,0,136
19.3403,0,-4.62739,-25,0,433,25,0,855
10.505,0,1.77419,-25,0,741,25,0,1180
16.0814,0,7.76783,-25,0,206,25,0,385
8.82267,0,1.31355,-25,0,190,25,0,246
18.1117,0,-7.76604,-99.9,-99.9,-1,-99.9,-99.9,-1
-21.4424,0,0.272624,-25,0,1453,25,0,567
-2.70192,0,9.2441,-25,0,28,25,0,21
-11.0163,0,-6.28972,-25,0,24,25,0,17
-11.7451,0,1.99759,-25,0,338,25,0,197
18.7311,0,-9.12182,-25,0,118,25,0,319
-14.6053,0,0.679487,-99.9,-99.9,-1,25,0,1
-12.4081,0,5.14258,-25,0,21,25,0,10
18.4369,0,-9.81913,-25,0,447,25,0,1300
-7.28548,0,-4.49429,-25,0,665,25,0,552
-5.20324,0,-6.55058,-25,0,313,25,0,217
-13.6314,0,-2.22398,-25,0,92,25,0,31
-5.33318,0,7.9002,-25,0,239,25,0,162
3.50728,0,-0.652936,-25,0,190,25,0,215
-17.8092,0,-0.513624,-25,0,4,25,0,4
-19.8932,0,2.37477,-99.9,-99.9,-1,25,0,1
-7.92821,0,2.31432,-99.9,-99.9,-1,-99.9,-99.9,-1
3.74473,0,7.46734,-25,0,32,25,0,28
6.81155,0,3.51927,-25,0,111,25,0,190
-15.4522,0,-3.83079,-25,0,30,25,0,13
19.5257,0,-3.52736,-25,0,1,25,0,1
-12.6721,0,9.17652,-25,0,226,25,0,151
-12.0524,0,-4.34975,-25,0,667,25,0,599
-11.4702,0,-1.81875,-25,0,328,25,0,200
7.40611,0,-7.05739,-25,0,446,25,0,508
11.2935,0,7.42142,-25,0,44,25,0,63
3.77129,0,6.58104,-99.9,-99.9,-1,25,0,2
-7.8585,0,1.07077,-25,0,53,25,0,47
-8.64409,0,1.68624,-25,0,208,25,0,172
-9.4433,0,1.7656,-25,0,1,-99.9,-99.9,-1
-11.8542,0,-8.10609,-25,0,1,-99.9,-99.9,-1
21.391,0,-4.12281,-25,0,244,25,0,296
-1.73145,0,5.54684,-25,0,273,25,0,270
3.05063,0,-4.55831,-25,0,453,25,0,493
-14.5745,0,9.14494,-25,0,149,25,0,80
19.0176,0,3.77848,-25,0,42,25,0,157
